cage_id	id	rt	exp_time	state	days
6	3	38.13	2018-09-20	CR	8
6	4	38.71	2018-09-20	CR	8
7	0	37.8	2018-09-20	CR	8
7	1	38.57	2018-09-20	CR	8
7	2	38.33	2018-09-20	CR	8
7	3	37.49	2018-09-20	CR	8
7	4	38.61	2018-09-20	CR	8
8	0	38.3	2018-09-20	CR	8
8	1	38.19	2018-09-20	CR	8
8	2	38.77	2018-09-20	CR	8
8	3	37.44	2018-09-20	CR	8
8	4	38.33	2018-09-20	CR	8
1	0	38.93	2018-09-22	HA	10
1	1	38.87	2018-09-22	HA	10
1	2	38.62	2018-09-22	HA	10
1	3	38.47	2018-09-22	HA	10
1	4	38.83	2018-09-22	HA	10
2	0	38.25	2018-09-22	HA	10
2	1	38.08	2018-09-22	HA	10
2	2	38.49	2018-09-22	HA	10
2	3	38.46	2018-09-22	HA	10
2	4	38.62	2018-09-22	HA	10
3	0	38.86	2018-09-22	HA	10
3	1	38.71	2018-09-22	HA	10
3	2	38.51	2018-09-22	HA	10
3	3	38.53	2018-09-22	HA	10
3	4	38.18	2018-09-22	HA	10
4	0	38.46	2018-09-22	HA	10
4	1	38.84	2018-09-22	HA	10
4	2	38.53	2018-09-22	HA	10
4	3	38.09	2018-09-22	HA	10
4	4	38.05	2018-09-22	HA	10
5	0	38.7	2018-09-22	HA	10
5	1	38.53	2018-09-22	HA	10
5	2	38.96	2018-09-22	HA	10
5	3	38.64	2018-09-22	HA	10
5	4	38.4	2018-09-22	HA	10
6	0	38.16	2018-09-22	CR	10
6	1	38.27	2018-09-22	CR	10
6	2	38.01	2018-09-22	CR	10
6	3	38.29	2018-09-22	CR	10
6	4	37.77	2018-09-22	CR	10
7	0	38.43	2018-09-22	CR	10
7	1	38.26	2018-09-22	CR	10
7	2	38.14	2018-09-22	CR	10
7	3	38.66	2018-09-22	CR	10
7	4	38.01	2018-09-22	CR	10
8	0	38	2018-09-22	CR	10
8	1	38.34	2018-09-22	CR	10
8	2	38.28	2018-09-22	CR	10
8	3	38.07	2018-09-22	CR	10
8	4	37.67	2018-09-22	CR	10
1	0	38.62	2018-09-24	HA	12
1	1	38.61	2018-09-24	HA	12
1	2	38.28	2018-09-24	HA	12
1	3	NA	2018-09-24	HA	12
1	4	38.64	2018-09-24	HA	12
2	0	38.28	2018-09-24	HA	12
2	1	37.72	2018-09-24	HA	12
2	2	38.08	2018-09-24	HA	12
2	3	38.5	2018-09-24	HA	12
2	4	38.35	2018-09-24	HA	12
3	0	38.65	2018-09-24	HA	12
3	1	38.43	2018-09-24	HA	12
3	2	38.58	2018-09-24	HA	12
3	3	38.72	2018-09-24	HA	12
3	4	38.59	2018-09-24	HA	12
4	0	38.05	2018-09-24	HA	12
4	1	38.86	2018-09-24	HA	12
4	2	38.37	2018-09-24	HA	12
4	3	38.18	2018-09-24	HA	12
4	4	37.98	2018-09-24	HA	12
5	0	38.53	2018-09-24	HA	12
5	1	38.12	2018-09-24	HA	12
5	2	38.64	2018-09-24	HA	12
5	3	38.22	2018-09-24	HA	12
5	4	38.63	2018-09-24	HA	12
6	0	37.98	2018-09-24	CR	12
6	1	37.66	2018-09-24	CR	12
6	2	38.43	2018-09-24	CR	12
6	3	37.25	2018-09-24	CR	12
6	4	37.52	2018-09-24	CR	12
7	0	37.49	2018-09-24	CR	12
7	1	37.95	2018-09-24	CR	12
7	2	37.56	2018-09-24	CR	12
7	3	38.46	2018-09-24	CR	12
7	4	38.06	2018-09-24	CR	12
8	0	37.06	2018-09-24	CR	12
8	1	38.15	2018-09-24	CR	12
8	2	37.84	2018-09-24	CR	12
8	3	38.05	2018-09-24	CR	12
8	4	38.12	2018-09-24	CR	12
1	0	38.46	2018-09-26	HA	14
1	1	38.79	2018-09-26	HA	14
1	2	38.2	2018-09-26	HA	14
1	3	38.59	2018-09-26	HA	14
1	4	38.3	2018-09-26	HA	14
2	0	38.52	2018-09-26	HA	14
2	1	37.98	2018-09-26	HA	14
2	2	38.33	2018-09-26	HA	14
2	3	38.6	2018-09-26	HA	14
2	4	38.71	2018-09-26	HA	14
3	0	38.77	2018-09-26	HA	14
3	1	38.44	2018-09-26	HA	14
3	2	38.55	2018-09-26	HA	14
3	3	38.3	2018-09-26	HA	14
3	4	38.04	2018-09-26	HA	14
4	0	37.97	2018-09-26	HA	14
4	1	38.41	2018-09-26	HA	14
4	2	37.95	2018-09-26	HA	14
4	3	37.84	2018-09-26	HA	14
4	4	37.87	2018-09-26	HA	14
5	0	37.99	2018-09-26	HA	14
5	1	38.52	2018-09-26	HA	14
5	2	38.15	2018-09-26	HA	14
5	3	38.18	2018-09-26	HA	14
5	4	38.1	2018-09-26	HA	14
6	0	38.61	2018-09-26	CR	14
6	1	37.69	2018-09-26	CR	14
6	2	38.2	2018-09-26	CR	14
6	3	38.43	2018-09-26	CR	14
6	4	38.38	2018-09-26	CR	14
7	0	37.97	2018-09-26	CR	14
7	1	37.79	2018-09-26	CR	14
7	2	37.78	2018-09-26	CR	14
7	3	38.83	2018-09-26	CR	14
7	4	37.47	2018-09-26	CR	14
8	0	38.09	2018-09-26	CR	14
8	1	37.96	2018-09-26	CR	14
8	2	37.46	2018-09-26	CR	14
8	3	38.91	2018-09-26	CR	14
8	4	38.78	2018-09-26	CR	14
1	0	37.95	2018-09-28	HA	16
1	1	38.12	2018-09-28	HA	16
1	2	38.08	2018-09-28	HA	16
1	3	38.44	2018-09-28	HA	16
1	4	37.86	2018-09-28	HA	16
2	0	38.28	2018-09-28	HA	16
2	1	38.72	2018-09-28	HA	16
2	2	38.79	2018-09-28	HA	16
2	3	38.81	2018-09-28	HA	16
2	4	38.93	2018-09-28	HA	16
3	0	38.73	2018-09-28	HA	16
3	1	38.17	2018-09-28	HA	16
3	2	38.31	2018-09-28	HA	16
3	3	38.75	2018-09-28	HA	16
3	4	37.54	2018-09-28	HA	16
4	0	37.88	2018-09-28	HA	16
4	1	38.65	2018-09-28	HA	16
4	2	38.21	2018-09-28	HA	16
4	3	37.83	2018-09-28	HA	16
4	4	38.15	2018-09-28	HA	16
5	0	38.39	2018-09-28	HA	16
5	1	38.11	2018-09-28	HA	16
5	2	38.64	2018-09-28	HA	16
5	3	38.36	2018-09-28	HA	16
5	4	38.29	2018-09-28	HA	16
6	0	38.56	2018-09-28	CR	16
6	1	38.46	2018-09-28	CR	16
6	2	37.97	2018-09-28	CR	16
6	3	38.12	2018-09-28	CR	16
6	4	38.01	2018-09-28	CR	16
7	0	37.87	2018-09-28	CR	16
7	1	37.95	2018-09-28	CR	16
7	2	38.6	2018-09-28	CR	16
7	3	37.89	2018-09-28	CR	16
7	4	37.67	2018-09-28	CR	16
8	0	37.93	2018-09-28	CR	16
8	1	38.3	2018-09-28	CR	16
8	2	38.2	2018-09-28	CR	16
8	3	38.77	2018-09-28	CR	16
8	4	38.14	2018-09-28	CR	16
1	0	38.09	2018-09-30	HA	18
1	1	38.1	2018-09-30	HA	18
1	2	38	2018-09-30	HA	18
1	3	38.33	2018-09-30	HA	18
1	4	37.53	2018-09-30	HA	18
2	0	37.79	2018-09-30	HA	18
2	1	37.85	2018-09-30	HA	18
2	2	37.54	2018-09-30	HA	18
2	3	38.17	2018-09-30	HA	18
2	4	38.02	2018-09-30	HA	18
3	0	38.21	2018-09-30	HA	18
3	1	37.77	2018-09-30	HA	18
3	2	38.13	2018-09-30	HA	18
3	3	38.1	2018-09-30	HA	18
3	4	37.34	2018-09-30	HA	18
4	0	37.57	2018-09-30	HA	18
4	1	38.21	2018-09-30	HA	18
4	2	37.95	2018-09-30	HA	18
4	3	37.61	2018-09-30	HA	18
4	4	37.27	2018-09-30	HA	18
5	0	38.43	2018-09-30	HA	18
