Treatment	CR	CR	CR	CR	CR	CR	CR	CR	HA	HA	HA	HA	HA	HA	HA	HA
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales	0.009697834	0.019647071	0.007481644	0.005473117	0.005342913	0.008213197	0.012627225	0.009164023	0.006078971	0.011224562	0.000951982	0.001748698	0.003233256	0.001440949	0.001991470	0.004054730
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.814256e-05	0.000000e+00	2.658388e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.786225e-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__RF32	9.804795e-04	2.564892e-04	2.609876e-04	8.317807e-05	9.117599e-05	0.000000e+00	3.628513e-05	1.602102e-05	1.357079e-03	1.245197e-04	3.807928e-05	0.000000e+00	0.000000e+00	1.777794e-03	1.878746e-05	8.931123e-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0.000000e+00	6.839711e-05	5.219752e-05	1.663561e-05	5.470559e-05	0.000000e+00	0.000000e+00	1.602102e-05	7.436050e-05	1.778853e-05	1.903964e-05	0.000000e+00	1.924557e-05	5.614088e-05	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	7.130760e-05	1.641531e-03	7.829627e-04	1.663561e-04	1.823520e-05	2.425839e-04	1.088554e-04	1.602102e-05	6.320642e-04	0.000000e+00	0.000000e+00	3.643120e-05	1.154734e-04	2.432771e-04	0.000000e+00	5.358674e-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.000000e+00	1.709928e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.814256e-05	1.602102e-05	1.487210e-04	0.000000e+00	1.903964e-05	1.821560e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.010713967	0.010943538	0.042332185	0.017650386	0.009865242	0.005700721	0.027467842	0.018183857	0.020151695	0.026878469	0.002170519	0.003570258	0.006870670	0.009506522	0.003889004	0.017612175
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.0086103931	0.0062754352	0.0002609876	0.0001663561	0.0012217582	0.0035694483	0.0002902810	0.0004005255	0.0028814694	0.0052298278	0.0134800655	0.0040985100	0.0072748268	0.0165428448	0.0103706765	0.0035903115
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1.782690e-05	6.839711e-05	6.959669e-05	1.996274e-04	1.276464e-04	1.732742e-05	1.814256e-05	1.121471e-04	3.718025e-05	1.600968e-04	4.569514e-04	3.278808e-04	5.773672e-05	2.058499e-04	3.569617e-04	3.929694e-04
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	3.565380e-05	2.393899e-04	1.043950e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.974420e-04	1.778853e-05	1.903964e-05	1.821560e-05	1.154734e-04	2.994180e-04	0.000000e+00	3.572449e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.000000e+00	0.000000e+00	0.000000e+00	1.663561e-05	0.000000e+00	0.000000e+00	1.814256e-05	0.000000e+00	8.551457e-04	0.000000e+00	0.000000e+00	1.821560e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	3.565380e-05	6.839711e-05	6.959669e-05	3.327123e-05	0.000000e+00	8.663709e-05	3.628513e-05	4.806306e-05	2.379536e-03	0.000000e+00	5.711892e-05	7.286240e-05	5.773672e-05	5.614088e-05	1.878746e-05	1.786225e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1.782690e-05	2.906877e-04	5.219752e-05	1.663561e-05	0.000000e+00	5.198226e-05	5.442769e-05	1.602102e-05	6.506544e-04	0.000000e+00	0.000000e+00	0.000000e+00	1.924557e-05	6.924041e-04	3.757491e-05	2.143470e-04
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	1.782690e-04	0.000000e+00	1.304938e-03	6.321533e-04	2.005872e-04	0.000000e+00	9.434133e-04	2.403153e-04	2.026324e-03	2.490394e-04	2.475153e-04	1.420817e-03	0.000000e+00	4.865543e-04	3.569617e-04	8.931123e-05
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39	0.000000e+00	1.709928e-05	3.131851e-04	6.654245e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.301309e-04	0.000000e+00	7.615856e-05	0.000000e+00	9.622787e-05	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.859012e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
