Sample,pos_H_1_4,pos_H_2_0,pos_H_3_1,pos_H_3_2,pos_H_4_0,pos_H_4_3,pos_H_5_1,pos_H_5_2,pos_H_5_3,pos_H_5_4,pos_C_6_0,pos_C_6_2,pos_C_6_3,pos_C_7_0,pos_C_7_2,pos_C_7_3,pos_C_7_4,pos_C_8_0,pos_C_8_2,pos_C_8_4
label,HA,HA,HA,HA,HA,HA,HA,HA,HA,HA,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
Com_16846_pos,44283.7755423,57532.1216037,90754.8618533,107861.945938,80468.6596635,54924.9223126,52115.9090926,69896.3953598,76758.620579,41762.9190025,79860.4077777,89049.8721646,78930.6390763,54060.4982171,125252.27296,90940.1325972,65547.7103096,58578.3083067,71818.8295361,66068.1818574
Com_16858_pos,43796.2630158,63155.9229558,66113.9091591,55179.680345,85249.3498594,123362.565346,60904.3097427,65185.4312524,84962.4722666,44505.7048346,97810.7328921,83439.6939223,84537.8710777,30524.0567272,84622.8762891,56976.0451156,67445.2504807,97880.3835049,79248.1702299,89735.0016059
Com_16887_pos,34563.5039695,33063.7523542,111862.424838,35318.6382273,45316.3912888,31813.575178,54298.4763696,35786.1327334,39585.8949271,128892.938054,44627.9985586,91105.0535373,67097.2890966,34261.5054313,56080.3711264,48592.5418337,56508.1847408,40336.3867129,22785.8554441,24910.0697134
Com_1688_pos,4391104.28979,173315.456287,105598.572376,100106.012389,240359.479367,241075.432778,187726.457005,165889.236845,135292.38087,88340.5665728,279507.259179,117011.258773,100802.052291,184019.247585,129157.966463,89847.2604287,90532.6238099,622631.207941,687848.933324,1059616.74785
Com_16897_pos,26316.7550672,44342.9892432,49622.7310776,24507.8871206,72984.3878705,82873.5352303,70633.9044862,31430.7945933,59244.5285323,49314.9421515,22004.5298308,26901.9177281,34209.1187284,55401.4182863,46623.0083765,45209.8147626,59219.3599145,69135.657734,115760.14983,59243.2941113
Com_168_pos,45770986.38,76787918.1734,2987311.68971,4789846.96166,22048641.7422,7167046.83888,23436802.5467,39350098.9246,9406691.05762,6525766.42519,10218732.9485,7684517.7906,8496737.71301,3089278.58383,4450399.34539,8221345.02194,8158387.51466,8959943.93147,6459113.00167,10158181.8858
Com_16904_pos,94497.5069687,68494.4302103,8834.48027004,10414.2965154,95818.3973008,43362.1935444,65116.0736361,109302.487585,60823.6442677,11465.6655735,43455.3240725,33747.7616049,8964.72195409,9407.19153643,11064.7447967,9533.88067369,11396.491775,80528.1024166,20793.4232978,60555.023401
Com_16925_pos,86852.7090192,106581.014752,88256.7374894,69502.7006314,96631.9410945,121922.509676,92546.9205001,57244.417757,95089.874894,53626.0332311,58950.5884721,60243.4104472,47572.0481259,63740.088897,62019.3118565,96706.6555353,27870.8367104,45763.5344652,56702.3949551,90370.8498586
Com_16933_pos,57461.81485,91179.3632642,82586.0805184,55692.4002814,99855.2180739,87689.3684341,103607.788411,54866.2531806,65455.1113447,107621.003553,55209.1925358,45715.947338,43518.2416683,76042.7927543,74529.8678871,77155.2291011,107459.788436,83855.2591122,84374.9613736,74628.851124
Com_16935_pos,114872.573185,67056.2071473,110860.539851,80477.9578404,106308.474956,46190.5013168,79378.2893799,92768.6154503,50626.7592948,64582.8192369,98056.6263353,95023.2710083,96444.3984314,78034.3649145,112512.999337,55800.2608906,51983.4054052,50932.4874364,93970.6432978,36956.8194314
