Sample,neg_H_1_4,neg_H_2_0,neg_H_3_1,neg_H_3_2,neg_H_4_0,neg_H_4_3,neg_H_5_1,neg_H_5_2,neg_H_5_3,neg_H_5_4,neg_C_6_0,neg_C_6_2,neg_C_6_3,neg_C_7_0,neg_C_7_2,neg_C_7_3,neg_C_7_4,neg_C_8_0,neg_C_8_2,neg_C_8_4
label,HA,HA,HA,HA,HA,HA,HA,HA,HA,HA,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
Com_102_neg,10502522.5885,12379350.761,12038397.1245,12319385.1386,21798700.2932,22289379.6953,43005748.6942,32469713.2775,5010692.14447,24092075.0699,1240968.42396,21738300.4686,28718678.4609,29426372.6625,28913012.5823,19579408.7756,11233223.1484,22620473.5615,19881318.7797,34198873.0298
Com_10311_neg,38842.0024814,13847.2671234,7802.50184196,5261.79502067,47206.0836225,7108.4644581,38019.0160825,35189.0388944,13229.5465864,5892.20370606,4982.64562624,6100.42282384,5660.25173939,12159.8832233,7666.81694209,5742.72761655,6065.17063751,7664.58384102,7591.04257184,6266.87869823
Com_10313_neg,26259.0348627,16342.8469671,10537.0388303,8025.18748884,47195.9782623,6212.10783239,14878.0791507,16202.8201219,24706.2465786,7517.58873366,16466.5851443,16575.0189173,16088.9764701,38532.9853429,17811.5681896,24993.3773995,8044.64759192,22151.6264852,15927.1255651,14879.6963755
Com_1031_neg,303488.184474,40909.8463361,357090.965258,247651.267243,242258.974759,280923.85425,1948435.49732,424433.667341,249331.128713,409959.275474,40602.0993437,265755.55044,73576.9260303,96106.2204489,60134.922672,50073.1128574,144698.318487,811965.580732,333047.231872,1053590.4915
Com_1034_neg,715380.383888,560687.087564,604756.341149,1476913.94833,915379.87625,1669233.83716,1943002.85623,505853.611275,1499572.85211,13116.3569278,547874.939048,574667.239671,200433.898609,2129001.94808,526401.947169,24309.911113,18911.5208372,661460.506692,1129838.40184,866822.751504
Com_10356_neg,12453.5852161,12170.1212836,12044.9521755,14820.2112947,46618.3950144,3638.11021868,36897.4654499,21622.7434921,20464.7517539,15971.5907531,10354.6122838,11295.7678132,9806.10968849,7780.62170617,19542.939837,7771.59686007,21540.1130092,4712.36645561,6072.89061434,3401.41741754
Com_10360_neg,22413.1871163,29158.8659547,32995.5325574,25203.2595553,27699.0902288,39519.4713871,27647.7368293,25907.3617842,29810.7687121,35455.2882864,27758.7740401,26101.4292273,25937.3900808,51143.5062225,46327.6313681,26163.1786571,38444.0984452,32776.9526427,36138.2655463,35834.2606627
Com_10364_neg,18916.8218977,24976.9195995,19882.0928871,19655.3690669,30745.1438916,38276.7753592,37031.1978625,18827.6299437,33420.2514052,14061.2353116,29501.3159842,26605.7239617,23276.1135193,30789.0720938,34295.2496019,20466.2460071,27413.6797302,36453.7518019,46691.3438953,43033.5083119
Com_10392_neg,36841.3899482,24179.79183,24138.9591956,30004.327311,32805.3935843,31574.1111272,19605.7523191,38994.3610367,41224.0733774,19155.2011044,31675.5737344,36132.9046039,20639.7572383,40729.9069165,16965.8431114,15842.4143157,37194.237715,29351.7526959,27634.5690994,34002.5299825
Com_10396_neg,40939.28383,6964.9902702,12600.3889728,12715.5740972,14007.881249,8608.91175883,34332.6178908,13983.6766595,28141.5720796,3974.28683644,18230.4378626,17081.4936655,9786.14636874,8835.61030965,6415.24060169,2606.68356113,3907.18814953,28814.3083264,11395.7504101,17982.4725598
