m.z	p.value	t.score
406.30789	0.04325705254497823	77
195.05643	0.04325705254497823	77
94.05304	0.04325705254497823	77
128.08368	0.04325705254497823	77
260.12581	0.04325705254497823	23
328.22499	0.04325705254497823	77
331.21076	0.04325705254497823	77
328.131	0.04325705254497823	23
244.08154	0.04325705254497823	77
157.03755	0.04325705254497823	77
240.17236	0.04325705254497823	77
397.35551	0.04325705254497823	77
404.27632	0.04325705254497823	23
500.33461	0.0524259022711035	24
197.06891	0.0524259022711035	76
174.10036	0.0524259022711035	76
113.04764	0.0524259022711035	76
568.30664	0.0524259022711035	24
251.15196	0.0524259022711035	76
546.31801	0.0524259022711035	24
132.01765	0.0524259022711035	76
453.27254	0.0524259022711035	24
462.2976	0.0524259022711035	76
111.98335	0.0524259022711035	76
446.33931	0.0524259022711035	76
284.0682	0.0524259022711035	24
339.15315	0.0524259022711035	76
100.05235	0.0524259022711035	76
298.14171	0.0524259022711035	76
244.06931	0.0524259022711035	24
233.06863	0.0524259022711035	76
180.04222	0.0524259022711035	76
128.12005	0.0524259022711035	76
338.11296	0.06301283855463422	75
186.13672	0.06301283855463422	75
553.31477	0.06301283855463422	75
661.3132	0.06301283855463422	25
321.16884	0.06301283855463422	75
344.23277	0.06301283855463422	75
156.01853	0.06301283855463422	75
430.26991	0.06301283855463422	75
102.06799	0.06301283855463422	75
129.04259	0.06301283855463422	75
95.03708	0.06301283855463422	75
242.08025	0.06301283855463422	75
406.27189	0.06301283855463422	25
157.07389	0.06301283855463422	25
221.08982	0.06301283855463422	25
147.03206	0.06301283855463422	75
316.26119	0.06301283855463422	25
262.1678	0.06301283855463422	75
421.28274	0.06301283855463422	25
134.02147	0.06301283855463422	75
250.12027	0.06301283855463422	75
350.24559	0.06301283855463422	75
138.07903	0.06301283855463422	75
116.08364	0.06301283855463422	75
424.28234	0.06301283855463422	75
256.11701	0.06301283855463422	75
480.12434	0.06301283855463422	75
262.12023	0.06301283855463422	75
258.18292	0.06301283855463422	75
255.25608	0.06301283855463422	75
144.0422	0.07525601333650869	74
170.05789	0.07525601333650869	74
554.45442	0.07525601333650869	74
439.26953	0.07525601333650869	26
402.29823	0.07525601333650869	74
384.12682	0.07525601333650869	74
186.10032	0.07525601333650869	74
412.13047	0.07525601333650869	74
687.15143	0.07525601333650869	26
480.34473	0.07525601333650869	26
404.25611	0.07525601333650869	26
340.13789	0.07525601333650869	74
166.06291	0.07525601333650869	74
102.03162	0.07525601333650869	74
314.15166	0.07525601333650869	26
275.11542	0.07525601333650869	74
111.04321	0.07525601333650869	74
262.19294	0.07525601333650869	26
200.14112	0.07525601333650869	26
482.28743	0.07525601333650869	26
256.13089	0.07525601333650869	26
298.07343	0.07525601333650869	74
149.07013	0.07525601333650869	74
464.34974	0.07525601333650869	74
268.06932	0.07525601333650869	74
318.07372	0.07525601333650869	74
226.0588	0.07525601333650869	26
342.25578	0.07525601333650869	74
425.15363	0.07525601333650869	74
327.27722	0.07525601333650869	74
341.1308	0.07525601333650869	74
286.0837	0.07525601333650869	74
388.15546	0.08920955205784928	73
402.24763	0.08920955205784928	73
167.09448	0.08920955205784928	73
462.27373	0.08920955205784928	27
378.20036	0.08920955205784928	73
622.40953	0.08920955205784928	27
102.04991	0.08920955205784928	73
276.12065	0.08920955205784928	73
174.12553	0.08920955205784928	73
346.14151	0.08920955205784928	27
197.98337	0.08920955205784928	73
194.13057	0.08920955205784928	27
416.32888	0.08920955205784928	73
344.27159	0.08920955205784928	27
284.27107	0.08920955205784928	73
276.09548	0.08920955205784928	73
202.08421	0.08920955205784928	73
158.06914	0.08920955205784928	27
176.12008	0.08920955205784928	27
339.27712	0.08920955205784928	73
260.0794	0.08920955205784928	73
150.06798	0.08920955205784928	73
186.12559	0.08920955205784928	27
426.31303	0.08920955205784928	73
195.13709	0.08920955205784928	73
310.11638	0.08920955205784928	73
425.19848	0.08920955205784928	73
236.14113	0.08920955205784928	73
182.07902	0.08920955205784928	73
346.14844	0.08920955205784928	73
241.13127	0.10512243174781875	72
190.10266	0.10512243174781875	72
122.00371	0.10512243174781875	72
375.21953	0.10512243174781875	72
532.3056	0.10512243174781875	28
346.2867	0.10512243174781875	72
301.16363	0.10512243174781875	72
530.30879	0.10512243174781875	28
148.05238	0.10512243174781875	72
170.06906	0.10512243174781875	72
516.27416	0.10512243174781875	72
183.02149	0.10512243174781875	72
130.09937	0.10512243174781875	72
350.28195	0.10512243174781875	72
124.06361	0.10512243174781875	72
324.17549	0.10512243174781875	72
250.01454	0.10512243174781875	72
500.34974	0.10512243174781875	72
327.31365	0.10512243174781875	72
294.25522	0.10512243174781875	72
220.08795	0.10512243174781875	72
212.1411	0.10512243174781875	72
306.2556	0.10512243174781875	72
172.04834	0.10512243174781875	72
175.06326	0.10512243174781875	72
413.29264	0.10512243174781875	72
181.03743	0.10512243174781875	72
203.09057	0.10512243174781875	72
670.42952	0.10512243174781875	28
328.29762	0.10512243174781875	72
283.28731	0.10512243174781875	72
273.09984	0.1230054774946416	71
295.15306	0.1230054774946416	71
258.01365	0.1230054774946416	71
374.31855	0.1230054774946416	71
436.21285	0.1230054774946416	71
326.11136	0.1230054774946416	71
1152.58462	0.1230054774946416	29
159.06836	0.1230054774946416	71
426.26188	0.1230054774946416	29
234.10029	0.1230054774946416	71
205.0374	0.1230054774946416	29
88.01598	0.1230054774946416	71
298.28691	0.1230054774946416	71
155.06949	0.1230054774946416	71
332.27131	0.1230054774946416	71
166.06286	0.1230054774946416	71
276.20859	0.1230054774946416	71
242.15169	0.1230054774946416	71
198.06399	0.1230054774946416	71
132.04222	0.1230054774946416	71
180.08979	0.1230054774946416	29
193.05857	0.1230054774946416	71
142.13572	0.1230054774946416	71
258.08904	0.1230054774946416	71
384.22985	0.1230054774946416	71
122.07308	0.1230054774946416	71
486.31886	0.1230054774946416	29
332.16221	0.1230054774946416	71
242.09409	0.1230054774946416	71
398.31841	0.1230054774946416	71
137.08403	0.1230054774946416	71
505.31602	0.1230054774946416	71
114.068	0.1230054774946416	71
508.41227	0.1230054774946416	71
402.27699	0.1230054774946416	29
200.08351	0.1230054774946416	71
412.19179	0.143140141592154	30
279.07412	0.143140141592154	70
223.03018	0.143140141592154	70
188.09481	0.143140141592154	70
442.36589	0.143140141592154	70
227.01794	0.143140141592154	70
256.2398	0.143140141592154	70
309.30304	0.143140141592154	70
302.1629	0.143140141592154	70
332.23832	0.143140141592154	70
434.33932	0.143140141592154	70
300.26623	0.143140141592154	70
138.04291	0.143140141592154	70
578.49141	0.143140141592154	70
148.03714	0.143140141592154	70
326.28177	0.143140141592154	30
121.05266	0.143140141592154	70
506.32377	0.143140141592154	70
596.34785	0.143140141592154	30
138.0429	0.143140141592154	30
148.05547	0.143140141592154	70
146.02157	0.143140141592154	30
410.24516	0.143140141592154	70
324.16838	0.143140141592154	70
432.35959	0.143140141592154	70
380.25596	0.143140141592154	70
165.11529	0.143140141592154	70
252.17225	0.143140141592154	70
184.03711	0.143140141592154	30
192.06327	0.143140141592154	70
318.21934	0.143140141592154	30
360.17854	0.143140141592154	70
119.03705	0.16549394877568255	69
101.04766	0.16549394877568255	69
184.09999	0.16549394877568255	69
458.37562	0.16549394877568255	69
231.14687	0.16549394877568255	69
302.17375	0.16549394877568255	69
189.07893	0.16549394877568255	69
256.16726	0.16549394877568255	69
178.09921	0.16549394877568255	69
293.11094	0.16549394877568255	69
462.26192	0.16549394877568255	31
364.16674	0.16549394877568255	69
136.08876	0.16549394877568255	69
188.07966	0.16549394877568255	69
430.32967	0.16549394877568255	31
460.3549	0.16549394877568255	69
263.09058	0.16549394877568255	69
260.0294	0.16549394877568255	69
232.08455	0.16549394877568255	31
336.22989	0.16549394877568255	69
218.12652	0.16549394877568255	69
183.10073	0.16549394877568255	69
188.0585	0.16549394877568255	69
280.20353	0.16549394877568255	69
348.12069	0.16549394877568255	69
211.08452	0.16549394877568255	31
162.06404	0.16549394877568255	69
225.13637	0.16549394877568255	69
245.13726	0.16549394877568255	69
450.37073	0.16549394877568255	69
541.30652	0.16549394877568255	31
392.25587	0.16549394877568255	69
289.11793	0.16549394877568255	69
308.2713	0.16549394877568255	69
286.25031	0.16549394877568255	31
322.21432	0.16549394877568255	31
228.12246	0.16549394877568255	69
400.21116	0.16549394877568255	31
302.13643	0.16549394877568255	69
244.10966	0.16549394877568255	69
181.11023	0.19031587607439004	68
194.06897	0.19031587607439004	68
282.08896	0.19031587607439004	68
181.0601	0.19031587607439004	32
456.32436	0.19031587607439004	32
442.29194	0.19031587607439004	32
177.07898	0.19031587607439004	68
368.11059	0.19031587607439004	32
238.08409	0.19031587607439004	68
351.15407	0.19031587607439004	68
367.13805	0.19031587607439004	68
128.04734	0.19031587607439004	68
418.29277	0.19031587607439004	68
538.29048	0.19031587607439004	68
164.06847	0.19031587607439004	68
942.52302	0.19031587607439004	32
174.05281	0.19031587607439004	68
