"","V","p.value","-log10(p)","FDR"
"Com_12472_pos",49,0.97051,0.012999,0.99948
"Com_1247_pos",43,0.63053,0.20029,0.91112
"Com_12489_pos",45,0.73936,0.13114,0.94633
"Com_12495_pos",48,0.9118,0.040102,0.99065
"Com_12501_pos",58,0.57874,0.23752,0.88784
"Com_12515_pos",81,0.018543,1.7318,0.3287
"Com_12527_pos",32,0.19032,0.72052,0.68218
"Com_1252_pos",35,0.27986,0.55306,0.73906
"Com_12549_pos",62,0.39305,0.40555,0.79969
"Com_12555_pos",71,0.12301,0.91008,0.59614
"Com_12574_pos",73,0.08921,1.0496,0.52234
"Com_12620_pos",58,0.57874,0.23752,0.88784
"Com_12635_pos",35,0.27986,0.55306,0.73906
"Com_12650_pos",34,0.24745,0.60651,0.71394
"Com_12654_pos",48,0.9118,0.040102,0.99065
"Com_12656_pos",73,0.08921,1.0496,0.52234
"Com_12658_pos",79,0.028806,1.5405,0.38035
"Com_12673_pos",71,0.12301,0.91008,0.59614
"Com_12676_pos",60,0.48125,0.31763,0.85132
"Com_12685_pos",53,0.85343,0.068833,0.98294
"Com_12696_pos",77,0.043257,1.3639,0.4356
"Com_12697_pos",65,0.27986,0.55306,0.73906
"Com_12700_pos",54,0.79594,0.099122,0.97073
"Com_12714_pos",63,0.35268,0.45262,0.793
"Com_12720_pos",60,0.48125,0.31763,0.85132
"Com_12726_pos",28,0.10512,0.9783,0.55409
"Com_12728_pos",69,0.16549,0.78122,0.65589
"Com_12740_pos",61,0.43587,0.36064,0.83189
"Com_12752_pos",57,0.63053,0.20029,0.91112
"Com_12765_pos",37,0.35268,0.45262,0.793
"Com_12770_pos",52,0.9118,0.040102,0.99065
"Com_12772_pos",54,0.79594,0.099122,0.97073
"Com_12793_pos",71,0.12301,0.91008,0.59614
"Com_12798_pos",76,0.052426,1.2805,0.46149
"Com_12799_pos",25,0.063013,1.2006,0.4868
"Com_12821_pos",43,0.63053,0.20029,0.91112
"Com_1283_pos",81,0.018543,1.7318,0.3287
"Com_12843_pos",81,0.018543,1.7318,0.3287
"Com_12845_pos",59,0.52885,0.27667,0.86844
"Com_12851_pos",58,0.57874,0.23752,0.88784
"Com_12861_pos",56,0.68421,0.16481,0.92418
"Com_12866_pos",38,0.39305,0.40555,0.79969
"Com_12886_pos",51,0.97051,0.012999,0.99948
"Com_12905_pos",69,0.16549,0.78122,0.65589
"Com_1292_pos",51,0.97051,0.012999,0.99948
"Com_12933_pos",74,0.075256,1.1235,0.50326
"Com_12939_pos",32,0.19032,0.72052,0.68218
