"","V","p.value","-log10(p)","FDR"
"Com_19931_pos",52,0.9118,0.040102,0.99065
"Com_19932_pos",48,0.9118,0.040102,0.99065
"Com_19933_pos",48,0.9118,0.040102,0.99065
"Com_19946_pos",43,0.63053,0.20029,0.91112
"Com_19980_pos",59,0.52885,0.27667,0.86844
"Com_19992_pos",39,0.43587,0.36064,0.83189
"Com_19995_pos",70,0.14314,0.84424,0.63324
"Com_199_pos",24,0.052426,1.2805,0.46149
"Com_19_pos",82,0.01469,1.833,0.3287
"Com_1_pos",61,0.43587,0.36064,0.83189
"Com_20009_pos",58,0.57874,0.23752,0.88784
"Com_20012_pos",51,0.97051,0.012999,0.99948
"Com_20014_pos",56,0.68421,0.16481,0.92418
"Com_20017_pos",56,0.68421,0.16481,0.92418
"Com_20018_pos",61,0.43587,0.36064,0.83189
"Com_2001_pos",34,0.24745,0.60651,0.71394
"Com_20030_pos",67,0.21756,0.66242,0.70646
"Com_20032_pos",41,0.52885,0.27667,0.86844
"Com_20047_pos",70,0.14314,0.84424,0.63324
"Com_20058_pos",66,0.24745,0.60651,0.71394
"Com_20079_pos",76,0.052426,1.2805,0.46149
"Com_2007_pos",51,0.97051,0.012999,0.99948
"Com_20088_pos",66,0.24745,0.60651,0.71394
"Com_20091_pos",71,0.12301,0.91008,0.59614
"Com_20124_pos",30,0.14314,0.84424,0.63324
"Com_20126_pos",73,0.08921,1.0496,0.52234
"Com_20134_pos",79,0.028806,1.5405,0.38035
"Com_20146_pos",70,0.14314,0.84424,0.63324
"Com_20147_pos",21,0.028806,1.5405,0.38035
"Com_2015_pos",66,0.24745,0.60651,0.71394
"Com_20168_pos",53,0.85343,0.068833,0.98294
"Com_20186_pos",54,0.79594,0.099122,0.97073
"Com_20194_pos",66,0.24745,0.60651,0.71394
"Com_20198_pos",39,0.43587,0.36064,0.83189
"Com_20236_pos",70,0.14314,0.84424,0.63324
"Com_20239_pos",53,0.85343,0.068833,0.98294
"Com_20243_pos",63,0.35268,0.45262,0.793
"Com_20258_pos",50,1,0,1
"Com_20259_pos",36,0.315,0.50169,0.76474
"Com_20268_pos",54,0.79594,0.099122,0.97073
"Com_20292_pos",59,0.52885,0.27667,0.86844
"Com_20293_pos",81,0.018543,1.7318,0.3287
"Com_20328_pos",59,0.52885,0.27667,0.86844
"Com_2034_pos",56,0.68421,0.16481,0.92418
"Com_20374_pos",42,0.57874,0.23752,0.88784
"Com_20389_pos",40,0.48125,0.31763,0.85132
"Com_20393_pos",81,0.018543,1.7318,0.3287
"Com_20395_pos",56,0.68421,0.16481,0.92418
"Com_203_pos",33,0.21756,0.66242,0.70646
"Com_20412_pos",20,0.023231,1.6339,0.35365
"Com_20413_pos",41,0.52885,0.27667,0.86844
"Com_20415_pos",58,0.57874,0.23752,0.88784
"Com_20417_pos",77,0.043257,1.3639,0.4356
"Com_20421_pos",83,0.011496,1.9394,0.28886
"Com_20424_pos",62,0.39305,0.40555,0.79969
"Com_2042_pos",71,0.12301,0.91008,0.59614
"Com_20437_pos",36,0.315,0.50169,0.76474
"Com_20459_pos",53,0.85343,0.068833,0.98294
"Com_20470_pos",58,0.57874,0.23752,0.88784
"Com_20484_pos",54,0.79594,0.099122,0.97073
"Com_20485_pos",46,0.79594,0.099122,0.97073
"Com_20510_pos",89,0.0020892,2.68,0.1656
"Com_20518_pos",64,0.315,0.50169,0.76474
"Com_2054_pos",68,0.19032,0.72052,0.68218
"Com_20550_pos",56,0.68421,0.16481,0.92418
"Com_2055_pos",48,0.9118,0.040102,0.99065
"Com_20565_pos",73,0.08921,1.0496,0.52234
"Com_20577_pos",67,0.21756,0.66242,0.70646
"Com_205_pos",63,0.35268,0.45262,0.793
"Com_20612_pos",46,0.79594,0.099122,0.97073
"Com_20616_pos",34,0.24745,0.60651,0.71394
"Com_20617_pos",49,0.97051,0.012999,0.99948
"Com_20619_pos",59,0.52885,0.27667,0.86844
"Com_20621_pos",79,0.028806,1.5405,0.38035
"Com_20640_pos",48,0.9118,0.040102,0.99065
"Com_20651_pos",76,0.052426,1.2805,0.46149
"Com_20661_pos",70,0.14314,0.84424,0.63324
"Com_20679_pos",74,0.075256,1.1235,0.50326
"Com_20693_pos",36,0.315,0.50169,0.76474
"Com_20698_pos",28,0.10512,0.9783,0.55409
"Com_20699_pos",65,0.27986,0.55306,0.73906
"Com_20721_pos",40,0.48125,0.31763,0.85132
"Com_20725_pos",54,0.79594,0.099122,0.97073
"Com_20742_pos",59,0.52885,0.27667,0.86844
"Com_20751_pos",49,0.97051,0.012999,0.99948
"Com_20752_pos",59,0.52885,0.27667,0.86844
"Com_20757_pos",53,0.85343,0.068833,0.98294
"Com_20764_pos",63,0.35268,0.45262,0.793
"Com_20768_pos",38,0.39305,0.40555,0.79969
"Com_20776_pos",72,0.10512,0.9783,0.55409
"Com_20780_pos",61,0.43587,0.36064,0.83189
"Com_2078_pos",77,0.043257,1.3639,0.4356
"Com_20805_pos",48,0.9118,0.040102,0.99065
"Com_20814_pos",33,0.21756,0.66242,0.70646
"Com_20833_pos",62,0.39305,0.40555,0.79969
"Com_20844_pos",46,0.79594,0.099122,0.97073
"Com_20862_pos",51,0.97051,0.012999,0.99948
"Com_20863_pos",68,0.19032,0.72052,0.68218
"Com_20885_pos",62,0.39305,0.40555,0.79969
"Com_20888_pos",53,0.85343,0.068833,0.98294
"Com_20890_pos",61,0.43587,0.36064,0.83189
"Com_20895_pos",65,0.27986,0.55306,0.73906
"Com_20900_pos",68,0.19032,0.72052,0.68218
"Com_20909_pos",51,0.97051,0.012999,0.99948
"Com_20930_pos",59,0.52885,0.27667,0.86844
"Com_20932_pos",51,0.97051,0.012999,0.99948
"Com_20935_pos",60,0.48125,0.31763,0.85132
"Com_20937_pos",61,0.43587,0.36064,0.83189
"Com_20942_pos",58,0.57874,0.23752,0.88784
"Com_20979_pos",71,0.12301,0.91008,0.59614
"Com_2097_pos",72,0.10512,0.9783,0.55409
"Com_20982_pos",60,0.48125,0.31763,0.85132
"Com_20996_pos",34,0.24745,0.60651,0.71394
"Com_20997_pos",62,0.39305,0.40555,0.79969
"Com_20999_pos",58,0.57874,0.23752,0.88784
"Com_21009_pos",43,0.63053,0.20029,0.91112
"Com_21017_pos",72,0.10512,0.9783,0.55409
"Com_21035_pos",53,0.85343,0.068833,0.98294
"Com_21042_pos",41,0.52885,0.27667,0.86844
"Com_21045_pos",47,0.85343,0.068833,0.98294
"Com_21048_pos",40,0.48125,0.31763,0.85132
"Com_2104_pos",52,0.9118,0.040102,0.99065
"Com_21058_pos",50,1,0,1
"Com_21067_pos",50,1,0,1
"Com_21077_pos",71,0.12301,0.91008,0.59614
"Com_21082_pos",77,0.043257,1.3639,0.4356
"Com_21092_pos",51,0.97051,0.012999,0.99948
"Com_21100_pos",72,0.10512,0.9783,0.55409
"Com_21102_pos",55,0.73936,0.13114,0.94633
"Com_21122_pos",46,0.79594,0.099122,0.97073
"Com_21135_pos",79,0.028806,1.5405,0.38035
"Com_21137_pos",83,0.011496,1.9394,0.28886
"Com_21139_pos",54,0.79594,0.099122,0.97073
"Com_21158_pos",79,0.028806,1.5405,0.38035
"Com_21162_pos",54,0.79594,0.099122,0.97073
"Com_21165_pos",50,1,0,1
"Com_21170_pos",41,0.52885,0.27667,0.86844
"Com_21176_pos",51,0.97051,0.012999,0.99948
"Com_21191_pos",52,0.9118,0.040102,0.99065
"Com_2120_pos",79,0.028806,1.5405,0.38035
"Com_21222_pos",45,0.73936,0.13114,0.94633
"Com_21246_pos",68,0.19032,0.72052,0.68218
"Com_21248_pos",64,0.315,0.50169,0.76474
"Com_21259_pos",20,0.023231,1.6339,0.35365
"Com_2127_pos",71,0.12301,0.91008,0.59614
"Com_21304_pos",73,0.08921,1.0496,0.52234
"Com_21309_pos",69,0.16549,0.78122,0.65589
"Com_2130_pos",44,0.68421,0.16481,0.92418
"Com_21316_pos",58,0.57874,0.23752,0.88784
"Com_21329_pos",70,0.14314,0.84424,0.63324
"Com_21340_pos",59,0.52885,0.27667,0.86844
"Com_21342_pos",49,0.97051,0.012999,0.99948
"Com_21343_pos",48,0.9118,0.040102,0.99065
"Com_21352_pos",17,0.011496,1.9394,0.28886
"Com_21370_pos",41,0.52885,0.27667,0.86844
"Com_21373_pos",44,0.68421,0.16481,0.92418
"Com_21375_pos",68,0.19032,0.72052,0.68218
"Com_21376_pos",59,0.52885,0.27667,0.86844
"Com_21394_pos",32,0.19032,0.72052,0.68218
"Com_2139_pos",58,0.57874,0.23752,0.88784
"Com_21403_pos",64,0.315,0.50169,0.76474
"Com_21405_pos",33,0.21756,0.66242,0.70646
"Com_21410_pos",51,0.97051,0.012999,0.99948
"Com_21414_pos",34,0.24745,0.60651,0.71394
"Com_21417_pos",24,0.052426,1.2805,0.46149
"Com_21419_pos",31,0.16549,0.78122,0.65589
"Com_21434_pos",79,0.028806,1.5405,0.38035
"Com_2143_pos",35,0.27986,0.55306,0.73906
"Com_21457_pos",39,0.43587,0.36064,0.83189
"Com_21460_pos",58,0.57874,0.23752,0.88784
"Com_21465_pos",61,0.43587,0.36064,0.83189
"Com_21471_pos",74,0.075256,1.1235,0.50326
"Com_21473_pos",56,0.68421,0.16481,0.92418
"Com_21480_pos",56,0.68421,0.16481,0.92418
"Com_21495_pos",68,0.19032,0.72052,0.68218
"Com_2149_pos",51,0.97051,0.012999,0.99948
"Com_21501_pos",40,0.48125,0.31763,0.85132
"Com_21505_pos",58,0.57874,0.23752,0.88784
"Com_21513_pos",65,0.27986,0.55306,0.73906
"Com_21520_pos",47,0.85343,0.068833,0.98294
"Com_21524_pos",64,0.315,0.50169,0.76474
"Com_21525_pos",91,0.00105,2.9788,0.15097
"Com_2152_pos",63,0.35268,0.45262,0.793
"Com_2154_pos",72,0.10512,0.9783,0.55409
"Com_215_pos",31,0.16549,0.78122,0.65589
"Com_2160_pos",73,0.08921,1.0496,0.52234
"Com_21612_pos",38,0.39305,0.40555,0.79969
"Com_21616_pos",72,0.10512,0.9783,0.55409
"Com_21622_pos",79,0.028806,1.5405,0.38035
"Com_21623_pos",50,1,0,1
"Com_21646_pos",57,0.63053,0.20029,0.91112
"Com_21675_pos",33,0.21756,0.66242,0.70646
"Com_21676_pos",31,0.16549,0.78122,0.65589
"Com_21684_pos",38,0.39305,0.40555,0.79969
"Com_2169_pos",38,0.39305,0.40555,0.79969
"Com_21705_pos",67,0.21756,0.66242,0.70646
"Com_21706_pos",37,0.35268,0.45262,0.793
"Com_21707_pos",44,0.68421,0.16481,0.92418
"Com_21716_pos",32,0.19032,0.72052,0.68218
"Com_21719_pos",61,0.43587,0.36064,0.83189
"Com_21721_pos",67,0.21756,0.66242,0.70646
"Com_2172_pos",21,0.028806,1.5405,0.38035
"Com_21739_pos",41,0.52885,0.27667,0.86844
"Com_21740_pos",80,0.023231,1.6339,0.35365
"Com_21754_pos",34,0.24745,0.60651,0.71394
"Com_21762_pos",69,0.16549,0.78122,0.65589
"Com_21766_pos",49,0.97051,0.012999,0.99948
"Com_21773_pos",43,0.63053,0.20029,0.91112
"Com_21777_pos",48,0.9118,0.040102,0.99065
"Com_2177_pos",60,0.48125,0.31763,0.85132
"Com_21786_pos",38,0.39305,0.40555,0.79969
"Com_21791_pos",47,0.85343,0.068833,0.98294
"Com_21799_pos",59,0.52885,0.27667,0.86844
"Com_217_pos",23,0.043257,1.3639,0.4356
"Com_21802_pos",59,0.52885,0.27667,0.86844
"Com_21804_pos",52,0.9118,0.040102,0.99065
"Com_21812_pos",60,0.48125,0.31763,0.85132
"Com_21820_pos",47,0.85343,0.068833,0.98294
"Com_21825_pos",58,0.57874,0.23752,0.88784
"Com_21828_pos",23,0.043257,1.3639,0.4356
"Com_2182_pos",32,0.19032,0.72052,0.68218
"Com_21831_pos",75,0.063013,1.2006,0.4868
"Com_21835_pos",55,0.73936,0.13114,0.94633
"Com_21849_pos",57,0.63053,0.20029,0.91112
"Com_2186_pos",85,0.0068415,2.1649,0.25294
"Com_21875_pos",49,0.97051,0.012999,0.99948
"Com_2187_pos",70,0.14314,0.84424,0.63324
"Com_21882_pos",73,0.08921,1.0496,0.52234
"Com_21889_pos",59,0.52885,0.27667,0.86844
"Com_21899_pos",33,0.21756,0.66242,0.70646
"Com_21903_pos",62,0.39305,0.40555,0.79969
"Com_21913_pos",51,0.97051,0.012999,0.99948
"Com_21924_pos",39,0.43587,0.36064,0.83189
"Com_21927_pos",63,0.35268,0.45262,0.793
"Com_2192_pos",54,0.79594,0.099122,0.97073
"Com_21932_pos",56,0.68421,0.16481,0.92418
"Com_21938_pos",74,0.075256,1.1235,0.50326
"Com_21939_pos",60,0.48125,0.31763,0.85132
"Com_21964_pos",80,0.023231,1.6339,0.35365
"Com_21979_pos",30,0.14314,0.84424,0.63324
"Com_21994_pos",80,0.023231,1.6339,0.35365
"Com_21999_pos",67,0.21756,0.66242,0.70646
"Com_22005_pos",65,0.27986,0.55306,0.73906
"Com_22009_pos",71,0.12301,0.91008,0.59614
"Com_22015_pos",40,0.48125,0.31763,0.85132
"Com_22030_pos",81,0.018543,1.7318,0.3287
"Com_22041_pos",73,0.08921,1.0496,0.52234
"Com_2204_pos",50,1,0,1
"Com_22050_pos",67,0.21756,0.66242,0.70646
"Com_22062_pos",75,0.063013,1.2006,0.4868
"Com_22066_pos",33,0.21756,0.66242,0.70646
"Com_22090_pos",86,0.005196,2.2843,0.22792
"Com_22096_pos",71,0.12301,0.91008,0.59614
"Com_22113_pos",55,0.73936,0.13114,0.94633
"Com_2212_pos",63,0.35268,0.45262,0.793
"Com_22138_pos",50,1,0,1
"Com_2217_pos",91,0.00105,2.9788,0.15097
"Com_22184_pos",76,0.052426,1.2805,0.46149
"Com_22189_pos",49,0.97051,0.012999,0.99948
"Com_22191_pos",59,0.52885,0.27667,0.86844
"Com_22195_pos",66,0.24745,0.60651,0.71394
"Com_22197_pos",58,0.57874,0.23752,0.88784
"Com_22209_pos",93,0.00048713,3.3124,0.11461
"Com_22223_pos",52,0.9118,0.040102,0.99065
"Com_22228_pos",74,0.075256,1.1235,0.50326
"Com_2222_pos",64,0.315,0.50169,0.76474
"Com_22236_pos",44,0.68421,0.16481,0.92418
"Com_22242_pos",33,0.21756,0.66242,0.70646
"Com_22247_pos",28,0.10512,0.9783,0.55409
"Com_22258_pos",21,0.028806,1.5405,0.38035
"Com_22266_pos",47,0.85343,0.068833,0.98294
"Com_22271_pos",69,0.16549,0.78122,0.65589
"Com_22273_pos",39,0.43587,0.36064,0.83189
"Com_22274_pos",47,0.85343,0.068833,0.98294
"Com_2228_pos",26,0.075256,1.1235,0.50326
"Com_22291_pos",47,0.85343,0.068833,0.98294
"Com_22296_pos",43,0.63053,0.20029,0.91112
"Com_22300_pos",74,0.075256,1.1235,0.50326
"Com_22303_pos",68,0.19032,0.72052,0.68218
"Com_22311_pos",57,0.63053,0.20029,0.91112
"Com_22313_pos",75,0.063013,1.2006,0.4868
"Com_22319_pos",55,0.73936,0.13114,0.94633
"Com_22322_pos",34,0.24745,0.60651,0.71394
"Com_22332_pos",33,0.21756,0.66242,0.70646
"Com_22338_pos",26,0.075256,1.1235,0.50326
"Com_22342_pos",62,0.39305,0.40555,0.79969
"Com_22356_pos",61,0.43587,0.36064,0.83189
"Com_22357_pos",66,0.24745,0.60651,0.71394
"Com_22370_pos",33,0.21756,0.66242,0.70646
"Com_22377_pos",56,0.68421,0.16481,0.92418
"Com_22380_pos",53,0.85343,0.068833,0.98294
"Com_22381_pos",37,0.35268,0.45262,0.793
"Com_22390_pos",34,0.24745,0.60651,0.71394
"Com_22403_pos",57,0.63053,0.20029,0.91112
"Com_22406_pos",77,0.043257,1.3639,0.4356
"Com_22429_pos",45,0.73936,0.13114,0.94633
"Com_2242_pos",81,0.018543,1.7318,0.3287
"Com_22431_pos",70,0.14314,0.84424,0.63324
"Com_22435_pos",73,0.08921,1.0496,0.52234
"Com_22436_pos",36,0.315,0.50169,0.76474
"Com_22444_pos",56,0.68421,0.16481,0.92418
"Com_22454_pos",76,0.052426,1.2805,0.46149
"Com_22463_pos",60,0.48125,0.31763,0.85132
"Com_22465_pos",39,0.43587,0.36064,0.83189
"Com_22470_pos",47,0.85343,0.068833,0.98294
"Com_2248_pos",30,0.14314,0.84424,0.63324
"Com_2250_pos",50,1,0,1
"Com_22514_pos",36,0.315,0.50169,0.76474
"Com_22515_pos",27,0.08921,1.0496,0.52234
"Com_22546_pos",44,0.68421,0.16481,0.92418
"Com_22567_pos",59,0.52885,0.27667,0.86844
"Com_22570_pos",38,0.39305,0.40555,0.79969
"Com_22591_pos",50,1,0,1
"Com_22595_pos",37,0.35268,0.45262,0.793
"Com_22597_pos",43,0.63053,0.20029,0.91112
"Com_22599_pos",53,0.85343,0.068833,0.98294
"Com_2259_pos",76,0.052426,1.2805,0.46149
"Com_22607_pos",36,0.315,0.50169,0.76474
"Com_22624_pos",79,0.028806,1.5405,0.38035
"Com_22634_pos",72,0.10512,0.9783,0.55409
"Com_22636_pos",48,0.9118,0.040102,0.99065
"Com_2263_pos",27,0.08921,1.0496,0.52234
"Com_22655_pos",62,0.39305,0.40555,0.79969
"Com_22659_pos",66,0.24745,0.60651,0.71394
"Com_2265_pos",37,0.35268,0.45262,0.793
"Com_22667_pos",72,0.10512,0.9783,0.55409
"Com_22670_pos",54,0.79594,0.099122,0.97073
"Com_22698_pos",42,0.57874,0.23752,0.88784
"Com_22702_pos",73,0.08921,1.0496,0.52234
"Com_2272_pos",56,0.68421,0.16481,0.92418
"Com_22730_pos",59,0.52885,0.27667,0.86844
"Com_2273_pos",67,0.21756,0.66242,0.70646
"Com_22751_pos",39,0.43587,0.36064,0.83189
"Com_22752_pos",68,0.19032,0.72052,0.68218
"Com_22753_pos",38,0.39305,0.40555,0.79969
"Com_22772_pos",58,0.57874,0.23752,0.88784
"Com_22798_pos",58,0.57874,0.23752,0.88784
"Com_227_pos",48,0.9118,0.040102,0.99065
"Com_22804_pos",61,0.43587,0.36064,0.83189
"Com_22814_pos",54,0.79594,0.099122,0.97073
"Com_22822_pos",33,0.21756,0.66242,0.70646
"Com_22829_pos",58,0.57874,0.23752,0.88784
"Com_22832_pos",47,0.85343,0.068833,0.98294
"Com_22834_pos",26,0.075256,1.1235,0.50326
"Com_22843_pos",33,0.21756,0.66242,0.70646
"Com_22851_pos",34,0.24745,0.60651,0.71394
"Com_22852_pos",51,0.97051,0.012999,0.99948
"Com_22857_pos",42,0.57874,0.23752,0.88784
"Com_2285_pos",37,0.35268,0.45262,0.793
"Com_22866_pos",62,0.39305,0.40555,0.79969
"Com_22871_pos",37,0.35268,0.45262,0.793
"Com_22887_pos",49,0.97051,0.012999,0.99948
"Com_22893_pos",43,0.63053,0.20029,0.91112
"Com_22894_pos",60,0.48125,0.31763,0.85132
"Com_228_pos",55,0.73936,0.13114,0.94633
"Com_22903_pos",67,0.21756,0.66242,0.70646
"Com_22905_pos",53,0.85343,0.068833,0.98294
"Com_22913_pos",59,0.52885,0.27667,0.86844
"Com_22917_pos",46,0.79594,0.099122,0.97073
"Com_22926_pos",49,0.97051,0.012999,0.99948
"Com_22933_pos",40,0.48125,0.31763,0.85132
"Com_22962_pos",63,0.35268,0.45262,0.793
"Com_2296_pos",36,0.315,0.50169,0.76474
"Com_22975_pos",54,0.79594,0.099122,0.97073
"Com_2299_pos",48,0.9118,0.040102,0.99065
"Com_23013_pos",43,0.63053,0.20029,0.91112
"Com_23036_pos",48,0.9118,0.040102,0.99065
"Com_23047_pos",28,0.10512,0.9783,0.55409
"Com_23052_pos",67,0.21756,0.66242,0.70646
"Com_23077_pos",47,0.85343,0.068833,0.98294
"Com_23087_pos",85,0.0068415,2.1649,0.25294
"Com_23103_pos",53,0.85343,0.068833,0.98294
"Com_23137_pos",51,0.97051,0.012999,0.99948
"Com_23142_pos",75,0.063013,1.2006,0.4868
"Com_23152_pos",74,0.075256,1.1235,0.50326
"Com_23157_pos",60,0.48125,0.31763,0.85132
"Com_23160_pos",49,0.97051,0.012999,0.99948
"Com_23164_pos",74,0.075256,1.1235,0.50326
"Com_23171_pos",51,0.97051,0.012999,0.99948
"Com_23172_pos",54,0.79594,0.099122,0.97073
"Com_23174_pos",57,0.63053,0.20029,0.91112
"Com_23185_pos",51,0.97051,0.012999,0.99948
"Com_23195_pos",43,0.63053,0.20029,0.91112
"Com_23197_pos",51,0.97051,0.012999,0.99948
"Com_23200_pos",76,0.052426,1.2805,0.46149
"Com_23205_pos",52,0.9118,0.040102,0.99065
"Com_23206_pos",25,0.063013,1.2006,0.4868
"Com_23210_pos",51,0.97051,0.012999,0.99948
"Com_23211_pos",70,0.14314,0.84424,0.63324
"Com_23218_pos",63,0.35268,0.45262,0.793
"Com_23219_pos",44,0.68421,0.16481,0.92418
"Com_23223_pos",63,0.35268,0.45262,0.793
"Com_23224_pos",71,0.12301,0.91008,0.59614
"Com_23226_pos",53,0.85343,0.068833,0.98294
"Com_23229_pos",40,0.48125,0.31763,0.85132
"Com_23248_pos",73,0.08921,1.0496,0.52234
"Com_23258_pos",72,0.10512,0.9783,0.55409
"Com_23265_pos",53,0.85343,0.068833,0.98294
"Com_23266_pos",55,0.73936,0.13114,0.94633
"Com_23277_pos",68,0.19032,0.72052,0.68218
"Com_23280_pos",56,0.68421,0.16481,0.92418
"Com_23288_pos",61,0.43587,0.36064,0.83189
"Com_2328_pos",48,0.9118,0.040102,0.99065
"Com_23290_pos",57,0.63053,0.20029,0.91112
"Com_23291_pos",65,0.27986,0.55306,0.73906
"Com_23295_pos",69,0.16549,0.78122,0.65589
"Com_23309_pos",66,0.24745,0.60651,0.71394
"Com_23314_pos",49,0.97051,0.012999,0.99948
"Com_23329_pos",46,0.79594,0.099122,0.97073
"Com_23336_pos",54,0.79594,0.099122,0.97073
"Com_23348_pos",63,0.35268,0.45262,0.793
"Com_23351_pos",64,0.315,0.50169,0.76474
"Com_23354_pos",46,0.79594,0.099122,0.97073
"Com_23361_pos",47,0.85343,0.068833,0.98294
"Com_23363_pos",48,0.9118,0.040102,0.99065
"Com_23381_pos",67,0.21756,0.66242,0.70646
"Com_23416_pos",54,0.79594,0.099122,0.97073
"Com_23423_pos",45,0.73936,0.13114,0.94633
"Com_23430_pos",78,0.035463,1.4502,0.41156
"Com_23435_pos",53,0.85343,0.068833,0.98294
"Com_23455_pos",52,0.9118,0.040102,0.99065
"Com_23461_pos",49,0.97051,0.012999,0.99948
"Com_23466_pos",41,0.52885,0.27667,0.86844
"Com_2346_pos",69,0.16549,0.78122,0.65589
"Com_23470_pos",56,0.68421,0.16481,0.92418
"Com_23476_pos",35,0.27986,0.55306,0.73906
"Com_23477_pos",66,0.24745,0.60651,0.71394
"Com_23481_pos",63,0.35268,0.45262,0.793
"Com_2348_pos",49,0.97051,0.012999,0.99948
"Com_23491_pos",53,0.85343,0.068833,0.98294
"Com_23503_pos",67,0.21756,0.66242,0.70646
"Com_23504_pos",48,0.9118,0.040102,0.99065
"Com_23510_pos",45,0.73936,0.13114,0.94633
"Com_23513_pos",55,0.73936,0.13114,0.94633
"Com_23518_pos",34,0.24745,0.60651,0.71394
"Com_23521_pos",35,0.27986,0.55306,0.73906
"Com_23542_pos",71,0.12301,0.91008,0.59614
"Com_23559_pos",50,1,0,1
"Com_23564_pos",50,1,0,1
"Com_23569_pos",60,0.48125,0.31763,0.85132
"Com_23577_pos",86,0.005196,2.2843,0.22792
"Com_23582_pos",57,0.63053,0.20029,0.91112
"Com_2360_pos",17,0.011496,1.9394,0.28886
"Com_23615_pos",52,0.9118,0.040102,0.99065
"Com_23619_pos",51,0.97051,0.012999,0.99948
"Com_23621_pos",65,0.27986,0.55306,0.73906
"Com_23629_pos",39,0.43587,0.36064,0.83189
"Com_23643_pos",49,0.97051,0.012999,0.99948
"Com_23644_pos",81,0.018543,1.7318,0.3287
"Com_23649_pos",70,0.14314,0.84424,0.63324
"Com_2364_pos",46,0.79594,0.099122,0.97073
"Com_23651_pos",75,0.063013,1.2006,0.4868
"Com_23652_pos",58,0.57874,0.23752,0.88784
"Com_23679_pos",61,0.43587,0.36064,0.83189
"Com_23689_pos",77,0.043257,1.3639,0.4356
"Com_23694_pos",65,0.27986,0.55306,0.73906
"Com_23703_pos",78,0.035463,1.4502,0.41156
"Com_23729_pos",53,0.85343,0.068833,0.98294
"Com_23732_pos",80,0.023231,1.6339,0.35365
"Com_23734_pos",62,0.39305,0.40555,0.79969
"Com_23741_pos",51,0.97051,0.012999,0.99948
"Com_23771_pos",78,0.035463,1.4502,0.41156
"Com_23785_pos",39,0.43587,0.36064,0.83189
"Com_23790_pos",49,0.97051,0.012999,0.99948
"Com_23792_pos",33,0.21756,0.66242,0.70646
"Com_23798_pos",52,0.9118,0.040102,0.99065
"Com_23799_pos",45,0.73936,0.13114,0.94633
"Com_23817_pos",29,0.12301,0.91008,0.59614
"Com_23818_pos",56,0.68421,0.16481,0.92418
"Com_23820_pos",49,0.97051,0.012999,0.99948
"Com_23839_pos",54,0.79594,0.099122,0.97073
"Com_23851_pos",48,0.9118,0.040102,0.99065
"Com_23891_pos",52,0.9118,0.040102,0.99065
"Com_23898_pos",75,0.063013,1.2006,0.4868
"Com_23903_pos",66,0.24745,0.60651,0.71394
"Com_23906_pos",48,0.9118,0.040102,0.99065
"Com_2390_pos",40,0.48125,0.31763,0.85132
"Com_23916_pos",62,0.39305,0.40555,0.79969
"Com_2391_pos",58,0.57874,0.23752,0.88784
"Com_23923_pos",37,0.35268,0.45262,0.793
"Com_23933_pos",56,0.68421,0.16481,0.92418
"Com_23935_pos",60,0.48125,0.31763,0.85132
"Com_23939_pos",30,0.14314,0.84424,0.63324
"Com_23951_pos",42,0.57874,0.23752,0.88784
"Com_23953_pos",59,0.52885,0.27667,0.86844
"Com_23958_pos",46,0.79594,0.099122,0.97073
"Com_23961_pos",84,0.0089307,2.0491,0.28886
"Com_23963_pos",53,0.85343,0.068833,0.98294
"Com_23973_pos",43,0.63053,0.20029,0.91112
"Com_23979_pos",39,0.43587,0.36064,0.83189
"Com_23981_pos",58,0.57874,0.23752,0.88784
"Com_23991_pos",73,0.08921,1.0496,0.52234
"Com_23992_pos",38,0.39305,0.40555,0.79969
"Com_24014_pos",41,0.52885,0.27667,0.86844
"Com_24015_pos",68,0.19032,0.72052,0.68218
"Com_24030_pos",67,0.21756,0.66242,0.70646
"Com_24050_pos",38,0.39305,0.40555,0.79969
"Com_24063_pos",36,0.315,0.50169,0.76474
"Com_24067_pos",62,0.39305,0.40555,0.79969
"Com_24069_pos",55,0.73936,0.13114,0.94633
"Com_24070_pos",47,0.85343,0.068833,0.98294
"Com_24077_pos",66,0.24745,0.60651,0.71394
"Com_24083_pos",33,0.21756,0.66242,0.70646
"Com_24087_pos",56,0.68421,0.16481,0.92418
"Com_24100_pos",65,0.27986,0.55306,0.73906
"Com_24108_pos",73,0.08921,1.0496,0.52234
"Com_24113_pos",88,0.0028795,2.5407,0.1656
"Com_24116_pos",81,0.018543,1.7318,0.3287
"Com_24117_pos",39,0.43587,0.36064,0.83189
"Com_24123_pos",38,0.39305,0.40555,0.79969
"Com_24132_pos",77,0.043257,1.3639,0.4356
"Com_24134_pos",59,0.52885,0.27667,0.86844
"Com_24136_pos",38,0.39305,0.40555,0.79969
"Com_24144_pos",48,0.9118,0.040102,0.99065
"Com_24159_pos",60,0.48125,0.31763,0.85132
"Com_24162_pos",51,0.97051,0.012999,0.99948
"Com_24171_pos",54,0.79594,0.099122,0.97073
"Com_24175_pos",82,0.01469,1.833,0.3287
"Com_24177_pos",36,0.315,0.50169,0.76474
"Com_24185_pos",63,0.35268,0.45262,0.793
"Com_24186_pos",46,0.79594,0.099122,0.97073
"Com_24217_pos",27,0.08921,1.0496,0.52234
